Decode_pipe PC:014 | instruction:00000093 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 1
Decode_pipe PC:018 | instruction:7d000113 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 2
Decode_pipe PC:01c | instruction:00000193 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 3
Decode_pipe PC:020 | instruction:00000213 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:024 | instruction:00000293 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 5
Decode_pipe PC:028 | instruction:3e800313 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 6
Decode_pipe PC:02c | instruction:07b00393 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 7
Decode_pipe PC:030 | instruction:00000413 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:034 | instruction:00000513 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:038 | instruction:00000593 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:11
Decode_pipe PC:03c | instruction:00000613 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:040 | instruction:00000993 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:19
Decode_pipe PC:044 | instruction:00000713 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:14
Decode_pipe PC:048 | instruction:00000793 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:04c | instruction:00000813 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:16
Decode_pipe PC:050 | instruction:00000893 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:17
Decode_pipe PC:054 | instruction:00000913 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:18
Decode_pipe PC:058 | instruction:00000993 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:19
Decode_pipe PC:05c | instruction:00000a13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:20
Decode_pipe PC:060 | instruction:00000a93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:21
Decode_pipe PC:064 | instruction:00000b13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:22
Decode_pipe PC:068 | instruction:00000b93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:23
Decode_pipe PC:06c | instruction:00000c13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:070 | instruction:00000c93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:25
Decode_pipe PC:074 | instruction:00000d13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:26
Decode_pipe PC:078 | instruction:00000d93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:27
Decode_pipe PC:07c | instruction:1c800e13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:080 | instruction:31500e93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:29
Decode_pipe PC:084 | instruction:3db00f13 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:30
Decode_pipe PC:088 | instruction:00000f93 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:31
Decode_pipe PC:08c | instruction:00732023 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 0
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:090 | instruction:01c32223 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 4
Decode_pipe PC:094 | instruction:01d32423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:098 | instruction:01e32623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:0a0 | instruction:25ca5592 | regWrite:0 | memWrite:0 | branch_op:0 | PC_select:00 | RD:11
Decode_pipe PC:0a4 | instruction:00000097 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 1
Decode_pipe PC:0a8 | instruction:0c4080e7 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:11 | RD: 1
Decode_pipe PC:168 | instruction:fe010113 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 2
Decode_pipe PC:16c | instruction:00112e23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:28
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:170 | instruction:00812c23 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:174 | instruction:02010413 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:178 | instruction:04000793 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:17c | instruction:fef42623 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD:12
Decode_pipe PC:180 | instruction:03000793 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:15
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:184 | instruction:fef42423 | regWrite:0 | memWrite:1 | branch_op:0 | PC_select:00 | RD: 8
Decode_pipe PC:188 | instruction:fe842583 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:11
Decode_pipe PC:18c | instruction:fec42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:18c | instruction:fec42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:18c | instruction:fec42503 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:10
Decode_pipe PC:190 | instruction:00032b83 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:23
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
Decode_pipe PC:194 | instruction:00432c03 | regWrite:1 | memWrite:0 | branch_op:0 | PC_select:00 | RD:24
